epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.902,1.6877,2.59579,0.99203,0.00807,0.13596,0.07666,0.05548,1.35227,2.93312,0.89163,0.000648649,0.000648649,0.000648649
2,527.024,1.53812,1.52185,0.97023,0.03847,0.64831,0.27655,0.18421,1.28013,2.66124,0.91281,0.00128927,0.00128927,0.00128927
3,760.703,1.52343,1.46008,0.9738,0.8923,0.56517,0.76229,0.44426,1.42301,1.76115,0.99403,0.0019035,0.0019035,0.0019035
4,993.648,1.47698,1.31661,0.98869,0.84462,0.7618,0.84793,0.51645,1.23634,1.05448,0.92187,0.0018812,0.0018812,0.0018812
5,1224.17,1.39753,1.24018,0.94561,0.82475,0.77697,0.83736,0.52616,1.19618,1.02385,0.90911,0.0018416,0.0018416,0.0018416
6,1463.22,1.32321,1.06315,0.9315,0.87748,0.7886,0.87886,0.5653,1.19863,0.96299,0.90716,0.001802,0.001802,0.001802
7,1720.79,1.301,1.0792,0.92592,0.896,0.79157,0.89001,0.58965,1.13966,0.92409,0.90248,0.0017624,0.0017624,0.0017624
8,1982.77,1.26259,0.98137,0.91451,0.92006,0.82767,0.91269,0.53457,1.19708,0.89106,0.91395,0.0017228,0.0017228,0.0017228
9,2229.34,1.23979,1.00386,0.92724,0.90402,0.82528,0.90808,0.5842,1.19202,0.91451,0.91028,0.0016832,0.0016832,0.0016832
10,2464.64,1.35948,1.07568,0.92304,0.89035,0.86671,0.92509,0.55495,1.16248,0.88658,0.90839,0.0016436,0.0016436,0.0016436
11,2698.54,1.23712,0.98031,0.91219,0.91869,0.86573,0.93487,0.62966,1.09481,0.79857,0.89169,0.001604,0.001604,0.001604
12,2936.78,1.30608,0.96653,0.9244,0.8866,0.87844,0.92312,0.61218,1.08766,0.82094,0.89045,0.0015644,0.0015644,0.0015644
13,3175.2,1.24318,0.86791,0.9165,0.90113,0.84997,0.92165,0.60548,1.12659,0.8391,0.89637,0.0015248,0.0015248,0.0015248
14,3412.81,1.25628,0.94983,0.91786,0.90316,0.88146,0.93424,0.59134,1.14172,0.80774,0.90607,0.0014852,0.0014852,0.0014852
15,3648.65,1.3069,0.91667,0.94354,0.90333,0.88652,0.93513,0.61867,1.16192,0.78488,0.89962,0.0014456,0.0014456,0.0014456
16,3885.12,1.33014,0.89344,0.91766,0.91636,0.86292,0.92946,0.59524,1.20761,0.84198,0.91086,0.001406,0.001406,0.001406
17,4116.7,1.24698,0.88499,0.91172,0.91186,0.87767,0.92689,0.6145,1.08831,0.73067,0.88403,0.0013664,0.0013664,0.0013664
18,4350.87,1.22257,0.84818,0.90195,0.92742,0.84704,0.91923,0.61801,1.09666,0.79818,0.88214,0.0013268,0.0013268,0.0013268
19,4589.66,1.21032,0.84948,0.89469,0.90328,0.88673,0.94055,0.62718,1.08201,0.72538,0.8821,0.0012872,0.0012872,0.0012872
20,4829.31,1.21932,0.84354,0.9105,0.90681,0.88371,0.94121,0.64314,1.0687,0.6919,0.88046,0.0012476,0.0012476,0.0012476
21,5070,1.26633,0.82372,0.89335,0.91406,0.84663,0.92876,0.62359,1.11592,0.7249,0.88691,0.001208,0.001208,0.001208
22,5337.79,1.16634,0.78204,0.90987,0.90072,0.86651,0.93379,0.62288,1.07573,0.68966,0.88294,0.0011684,0.0011684,0.0011684
23,5616.52,1.11661,0.7184,0.8931,0.91719,0.85618,0.932,0.62792,1.06991,0.66791,0.87735,0.0011288,0.0011288,0.0011288
24,5834.78,1.14665,0.73848,0.87997,0.92583,0.89054,0.94434,0.63261,1.04009,0.64856,0.87472,0.0010892,0.0010892,0.0010892
25,6061.18,1.17889,0.73637,0.89224,0.93613,0.88876,0.95216,0.63808,1.09076,0.65491,0.87959,0.0010496,0.0010496,0.0010496
26,6274.74,1.1717,0.72859,0.88684,0.93778,0.90609,0.95607,0.64138,1.05996,0.64975,0.87656,0.00101,0.00101,0.00101
27,6487.67,1.16511,0.71734,0.90379,0.93614,0.90843,0.96054,0.65629,1.03629,0.62044,0.86943,0.0009704,0.0009704,0.0009704
28,6700.1,1.18215,0.7195,0.90203,0.91426,0.8986,0.95191,0.65051,1.05363,0.62458,0.87035,0.0009308,0.0009308,0.0009308
29,6913.14,1.19509,0.77722,0.89557,0.94331,0.8764,0.95121,0.65211,1.0442,0.65313,0.87367,0.0008912,0.0008912,0.0008912
30,7127.24,1.12404,0.65945,0.89656,0.92234,0.91629,0.95787,0.65576,1.07619,0.61287,0.87448,0.0008516,0.0008516,0.0008516
31,7342.39,1.11661,0.67239,0.87767,0.92889,0.92528,0.96145,0.66004,1.04033,0.62322,0.86948,0.000812,0.000812,0.000812
32,7557.3,1.11473,0.70345,0.8853,0.92499,0.9076,0.95967,0.65372,1.02004,0.60893,0.87321,0.0007724,0.0007724,0.0007724
33,7773.87,1.16424,0.69287,0.89731,0.9314,0.90843,0.96272,0.65897,1.0514,0.60212,0.87486,0.0007328,0.0007328,0.0007328
34,7985.13,1.13265,0.67892,0.89088,0.94605,0.90562,0.96538,0.65205,1.08716,0.60223,0.88255,0.0006932,0.0006932,0.0006932
35,8197.83,1.16353,0.66802,0.89686,0.93759,0.91994,0.96413,0.64657,1.02491,0.58455,0.87423,0.0006536,0.0006536,0.0006536
36,8416.53,1.16267,0.66438,0.87952,0.90923,0.90899,0.95197,0.63654,1.05123,0.62563,0.87261,0.000614,0.000614,0.000614
37,8643.87,1.11529,0.65455,0.89189,0.93412,0.90112,0.95492,0.65646,1.03283,0.59303,0.87225,0.0005744,0.0005744,0.0005744
38,8873.22,1.1253,0.658,0.90419,0.91913,0.91941,0.95892,0.65034,1.03662,0.58649,0.87453,0.0005348,0.0005348,0.0005348
39,9104.47,1.1049,0.60774,0.89818,0.94109,0.89157,0.95706,0.64794,1.05122,0.57284,0.87217,0.0004952,0.0004952,0.0004952
40,9326.94,1.09779,0.64163,0.8828,0.94416,0.8736,0.94973,0.64671,1.0417,0.59407,0.87134,0.0004556,0.0004556,0.0004556
41,9547.84,1.14377,0.69812,0.90173,0.93687,0.88382,0.95093,0.64854,1.03827,0.59039,0.87035,0.000416,0.000416,0.000416
42,9764.24,1.06196,0.62392,0.89211,0.9138,0.89157,0.95309,0.65177,1.04972,0.58859,0.87055,0.0003764,0.0003764,0.0003764
43,9980.63,1.10703,0.67551,0.90685,0.91776,0.90506,0.958,0.6521,1.05609,0.58109,0.87314,0.0003368,0.0003368,0.0003368
44,10198.2,1.04805,0.59803,0.89344,0.9369,0.89258,0.95953,0.65535,1.04125,0.57226,0.8717,0.0002972,0.0002972,0.0002972
45,10417.9,1.03496,0.60398,0.88636,0.9251,0.90674,0.96148,0.65859,1.02519,0.56869,0.86907,0.0002576,0.0002576,0.0002576
46,10627.7,1.06014,0.60518,0.89653,0.93141,0.90899,0.96389,0.65986,1.02825,0.56695,0.86942,0.000218,0.000218,0.000218
47,10841,1.01455,0.5646,0.8863,0.93763,0.91011,0.96529,0.65988,1.03235,0.56778,0.86968,0.0001784,0.0001784,0.0001784
